group,variable,value
Afghanistan,22/01/2020,0
Afghanistan,23/01/2020,0
Afghanistan,24/01/2020,0
Afghanistan,25/01/2020,0
Afghanistan,26/01/2020,0
Afghanistan,27/01/2020,0
Afghanistan,28/01/2020,0
Afghanistan,29/01/2020,0
Afghanistan,30/01/2020,0
Afghanistan,31/01/2020,0
Afghanistan,01/02/2020,0
Afghanistan,02/02/2020,0
Afghanistan,03/02/2020,0
Afghanistan,04/02/2020,0
Afghanistan,05/02/2020,0
Afghanistan,06/02/2020,0
Afghanistan,07/02/2020,0
Afghanistan,08/02/2020,0
Afghanistan,09/02/2020,0
Afghanistan,10/02/2020,0
Afghanistan,11/02/2020,0
Afghanistan,12/02/2020,0
Afghanistan,13/02/2020,0
Afghanistan,14/02/2020,0
Afghanistan,15/02/2020,0
Afghanistan,16/02/2020,0
Afghanistan,17/02/2020,0
Afghanistan,18/02/2020,0
Afghanistan,19/02/2020,0
Afghanistan,20/02/2020,0
Afghanistan,21/02/2020,0
Afghanistan,22/02/2020,0
Afghanistan,23/02/2020,0
Afghanistan,24/02/2020,1
Afghanistan,25/02/2020,0
Afghanistan,26/02/2020,0
Afghanistan,27/02/2020,0
Afghanistan,28/02/2020,0
Afghanistan,29/02/2020,0
Afghanistan,01/03/2020,0
Afghanistan,02/03/2020,0
Afghanistan,03/03/2020,0
Afghanistan,04/03/2020,0
Afghanistan,05/03/2020,0
Afghanistan,06/03/2020,0
Afghanistan,07/03/2020,0
Afghanistan,08/03/2020,3
Afghanistan,09/03/2020,0
Afghanistan,10/03/2020,1
Afghanistan,11/03/2020,2
Afghanistan,12/03/2020,0
Afghanistan,13/03/2020,0
Afghanistan,14/03/2020,4
Afghanistan,15/03/2020,5
Afghanistan,16/03/2020,5
Afghanistan,17/03/2020,1
Afghanistan,18/03/2020,0
Afghanistan,19/03/2020,0
Afghanistan,20/03/2020,2
Afghanistan,21/03/2020,0
Afghanistan,22/03/2020,16
Afghanistan,23/03/2020,0
Afghanistan,24/03/2020,34
Afghanistan,25/03/2020,10
Afghanistan,26/03/2020,10
Afghanistan,27/03/2020,16
Afghanistan,28/03/2020,0
Afghanistan,29/03/2020,10
Afghanistan,30/03/2020,50
Afghanistan,31/03/2020,4
Afghanistan,01/04/2020,63
Afghanistan,02/04/2020,36
Afghanistan,03/04/2020,8
Afghanistan,04/04/2020,18
Afghanistan,05/04/2020,50
Afghanistan,06/04/2020,18
Afghanistan,07/04/2020,56
Afghanistan,08/04/2020,21
Afghanistan,09/04/2020,40
Afghanistan,10/04/2020,37
Afghanistan,11/04/2020,34
Afghanistan,12/04/2020,52
Afghanistan,13/04/2020,58
Afghanistan,14/04/2020,49
Afghanistan,15/04/2020,70
Afghanistan,16/04/2020,56
Afghanistan,17/04/2020,66
Afghanistan,18/04/2020,27
Afghanistan,19/04/2020,63
Afghanistan,20/04/2020,30
Afghanistan,21/04/2020,66
Afghanistan,22/04/2020,84
Afghanistan,23/04/2020,103
Afghanistan,24/04/2020,72
Afghanistan,25/04/2020,112
Afghanistan,26/04/2020,68
Afghanistan,27/04/2020,172
Afghanistan,28/04/2020,125
Afghanistan,29/04/2020,111
Afghanistan,30/04/2020,232
Afghanistan,01/05/2020,164
Afghanistan,02/05/2020,134
Afghanistan,03/05/2020,235
Afghanistan,04/05/2020,190
Afghanistan,05/05/2020,330
Afghanistan,06/05/2020,168
Afghanistan,07/05/2020,171
Afghanistan,08/05/2020,215
Afghanistan,09/05/2020,255
Afghanistan,10/05/2020,369
Afghanistan,11/05/2020,285
Afghanistan,12/05/2020,276
Afghanistan,13/05/2020,263
Afghanistan,14/05/2020,413
Afghanistan,15/05/2020,414
Afghanistan,16/05/2020,349
Afghanistan,17/05/2020,262
Afghanistan,18/05/2020,408
Afghanistan,19/05/2020,581
Afghanistan,20/05/2020,492
Afghanistan,21/05/2020,531
Afghanistan,22/05/2020,540
Afghanistan,23/05/2020,782
Afghanistan,24/05/2020,584
Afghanistan,25/05/2020,591
Afghanistan,26/05/2020,658
Afghanistan,27/05/2020,625
Afghanistan,28/05/2020,580
Afghanistan,29/05/2020,623
Afghanistan,30/05/2020,866
Afghanistan,31/05/2020,680
Afghanistan,01/06/2020,545
Afghanistan,02/06/2020,759
Afghanistan,03/06/2020,758
Afghanistan,04/06/2020,787
Afghanistan,05/06/2020,915
Afghanistan,06/06/2020,582
Afghanistan,07/06/2020,791
Afghanistan,08/06/2020,575
Afghanistan,09/06/2020,542
Afghanistan,10/06/2020,683
Afghanistan,11/06/2020,748
Afghanistan,12/06/2020,656
Afghanistan,13/06/2020,556
Afghanistan,14/06/2020,664
Afghanistan,15/06/2020,761
Afghanistan,16/06/2020,783
Afghanistan,17/06/2020,564
Afghanistan,18/06/2020,658
Afghanistan,19/06/2020,346
Afghanistan,20/06/2020,546
Afghanistan,21/06/2020,409
Afghanistan,22/06/2020,324
Afghanistan,23/06/2020,324
Afghanistan,24/06/2020,159
Afghanistan,25/06/2020,535
Afghanistan,26/06/2020,276
Afghanistan,27/06/2020,165
Afghanistan,28/06/2020,351
Afghanistan,29/06/2020,271
Afghanistan,30/06/2020,279
Afghanistan,01/07/2020,319
Afghanistan,02/07/2020,186
Afghanistan,03/07/2020,302
Afghanistan,04/07/2020,348
Afghanistan,05/07/2020,279
Afghanistan,06/07/2020,239
Afghanistan,07/07/2020,194
Afghanistan,08/07/2020,210
Afghanistan,09/07/2020,314
Afghanistan,10/07/2020,286
Afghanistan,11/07/2020,172
Afghanistan,12/07/2020,85
Afghanistan,13/07/2020,4
Afghanistan,14/07/2020,285
Afghanistan,15/07/2020,254
Afghanistan,16/07/2020,76
Afghanistan,17/07/2020,159
Afghanistan,18/07/2020,72
Afghanistan,19/07/2020,174
Afghanistan,20/07/2020,51
Afghanistan,21/07/2020,89
Afghanistan,22/07/2020,112
Afghanistan,23/07/2020,201
Afghanistan,24/07/2020,53
Afghanistan,25/07/2020,55
Afghanistan,26/07/2020,121
Afghanistan,27/07/2020,106
Afghanistan,28/07/2020,105
Afghanistan,29/07/2020,103
Afghanistan,30/07/2020,71
Afghanistan,31/07/2020,133
Afghanistan,01/08/2020,35
Afghanistan,02/08/2020,0
Afghanistan,03/08/2020,37
Afghanistan,04/08/2020,35
Afghanistan,05/08/2020,47
Afghanistan,06/08/2020,67
Afghanistan,07/08/2020,119
Afghanistan,08/08/2020,39
Afghanistan,09/08/2020,0
Afghanistan,10/08/2020,108
Afghanistan,11/08/2020,107
Afghanistan,12/08/2020,76
Afghanistan,13/08/2020,79
Afghanistan,14/08/2020,7
Afghanistan,15/08/2020,120
Afghanistan,16/08/2020,45
Afghanistan,17/08/2020,3
Afghanistan,18/08/2020,0
Afghanistan,19/08/2020,0
Afghanistan,20/08/2020,257
Afghanistan,21/08/2020,38
Afghanistan,22/08/2020,59
Afghanistan,23/08/2020,46
Afghanistan,24/08/2020,55
Afghanistan,25/08/2020,16
Afghanistan,26/08/2020,43
Afghanistan,27/08/2020,16
Afghanistan,28/08/2020,11
Afghanistan,29/08/2020,3
Afghanistan,30/08/2020,19
Afghanistan,31/08/2020,3
Afghanistan,01/09/2020,31
Afghanistan,02/09/2020,47
Afghanistan,03/09/2020,45
Afghanistan,04/09/2020,16
Afghanistan,05/09/2020,20
Afghanistan,06/09/2020,74
Afghanistan,07/09/2020,96
Afghanistan,08/09/2020,26
Afghanistan,09/09/2020,24
Afghanistan,10/09/2020,28
Afghanistan,11/09/2020,34
Afghanistan,12/09/2020,35
Afghanistan,13/09/2020,75
Afghanistan,14/09/2020,56
Afghanistan,15/09/2020,43
Afghanistan,16/09/2020,40
Afghanistan,17/09/2020,17
Afghanistan,18/09/2020,11
Afghanistan,19/09/2020,36
Afghanistan,20/09/2020,125
Afghanistan,21/09/2020,30
Afghanistan,22/09/2020,22
Afghanistan,23/09/2020,49
Afghanistan,24/09/2020,25
Albania,22/01/2020,0
Albania,23/01/2020,0
Albania,24/01/2020,0
Albania,25/01/2020,0
Albania,26/01/2020,0
Albania,27/01/2020,0
Albania,28/01/2020,0
Albania,29/01/2020,0
Albania,30/01/2020,0
Albania,31/01/2020,0
Albania,01/02/2020,0
Albania,02/02/2020,0
Albania,03/02/2020,0
Albania,04/02/2020,0
Albania,05/02/2020,0
Albania,06/02/2020,0
Albania,07/02/2020,0
Albania,08/02/2020,0
Albania,09/02/2020,0
Albania,10/02/2020,0
Albania,11/02/2020,0
Albania,12/02/2020,0
Albania,13/02/2020,0
Albania,14/02/2020,0
Albania,15/02/2020,0
Albania,16/02/2020,0
Albania,17/02/2020,0
Albania,18/02/2020,0
Albania,19/02/2020,0
Albania,20/02/2020,0
Albania,21/02/2020,0
Albania,22/02/2020,0
Albania,23/02/2020,0
Albania,24/02/2020,0
Albania,25/02/2020,0
Albania,26/02/2020,0
Albania,27/02/2020,0
Albania,28/02/2020,0
Albania,29/02/2020,0
Albania,01/03/2020,0
Albania,02/03/2020,0
Albania,03/03/2020,0
Albania,04/03/2020,0
Albania,05/03/2020,0
Albania,06/03/2020,0
Albania,07/03/2020,0
Albania,08/03/2020,0
Albania,09/03/2020,2
Albania,10/03/2020,8
Albania,11/03/2020,2
Albania,12/03/2020,11
Albania,13/03/2020,10
Albania,14/03/2020,5
Albania,15/03/2020,4
Albania,16/03/2020,9
Albania,17/03/2020,4
Albania,18/03/2020,4
Albania,19/03/2020,5
Albania,20/03/2020,6
Albania,21/03/2020,6
Albania,22/03/2020,13
Albania,23/03/2020,15
Albania,24/03/2020,19
Albania,25/03/2020,23
Albania,26/03/2020,28
Albania,27/03/2020,12
Albania,28/03/2020,11
Albania,29/03/2020,15
Albania,30/03/2020,11
Albania,31/03/2020,20
Albania,01/04/2020,16
Albania,02/04/2020,18
Albania,03/04/2020,27
Albania,04/04/2020,29
Albania,05/04/2020,28
Albania,06/04/2020,16
Albania,07/04/2020,6
Albania,08/04/2020,17
Albania,09/04/2020,9
Albania,10/04/2020,7
Albania,11/04/2020,17
Albania,12/04/2020,13
Albania,13/04/2020,21
Albania,14/04/2020,8
Albania,15/04/2020,19
Albania,16/04/2020,24
Albania,17/04/2020,21
Albania,18/04/2020,9
Albania,19/04/2020,14
Albania,20/04/2020,22
Albania,21/04/2020,25
Albania,22/04/2020,25
Albania,23/04/2020,29
Albania,24/04/2020,15
Albania,25/04/2020,34
Albania,26/04/2020,14
Albania,27/04/2020,10
Albania,28/04/2020,14
Albania,29/04/2020,16
Albania,30/04/2020,7
Albania,01/05/2020,9
Albania,02/05/2020,7
Albania,03/05/2020,6
Albania,04/05/2020,8
Albania,05/05/2020,17
Albania,06/05/2020,12
Albania,07/05/2020,10
Albania,08/05/2020,8
Albania,09/05/2020,6
Albania,10/05/2020,12
Albania,11/05/2020,4
Albania,12/05/2020,4
Albania,13/05/2020,4
Albania,14/05/2020,18
Albania,15/05/2020,18
Albania,16/05/2020,17
Albania,17/05/2020,13
Albania,18/05/2020,2
Albania,19/05/2020,1
Albania,20/05/2020,15
Albania,21/05/2020,5
Albania,22/05/2020,12
Albania,23/05/2020,8
Albania,24/05/2020,9
Albania,25/05/2020,6
Albania,26/05/2020,25
Albania,27/05/2020,21
Albania,28/05/2020,26
Albania,29/05/2020,23
Albania,30/05/2020,23
Albania,31/05/2020,15
Albania,01/06/2020,6
Albania,02/06/2020,21
Albania,03/06/2020,20
Albania,04/06/2020,13
Albania,05/06/2020,15
Albania,06/06/2020,20
Albania,07/06/2020,14
Albania,08/06/2020,17
Albania,09/06/2020,36
Albania,10/06/2020,42
Albania,11/06/2020,44
Albania,12/06/2020,31
Albania,13/06/2020,48
Albania,14/06/2020,57
Albania,15/06/2020,69
Albania,16/06/2020,82
Albania,17/06/2020,50
Albania,18/06/2020,66
Albania,19/06/2020,50
Albania,20/06/2020,53
Albania,21/06/2020,71
Albania,22/06/2020,33
Albania,23/06/2020,52
Albania,24/06/2020,67
Albania,25/06/2020,78
Albania,26/06/2020,77
Albania,27/06/2020,61
Albania,28/06/2020,72
Albania,29/06/2020,64
Albania,30/06/2020,69
Albania,01/07/2020,45
Albania,02/07/2020,82
Albania,03/07/2020,90
Albania,04/07/2020,67
Albania,05/07/2020,74
Albania,06/07/2020,71
Albania,07/07/2020,74
Albania,08/07/2020,68
Albania,09/07/2020,82
Albania,10/07/2020,90
Albania,11/07/2020,93
Albania,12/07/2020,83
Albania,13/07/2020,117
Albania,14/07/2020,96
Albania,15/07/2020,85
Albania,16/07/2020,99
Albania,17/07/2020,55
Albania,18/07/2020,102
Albania,19/07/2020,82
Albania,20/07/2020,81
Albania,21/07/2020,119
Albania,22/07/2020,68
Albania,23/07/2020,108
Albania,24/07/2020,104
Albania,25/07/2020,67
Albania,26/07/2020,126
Albania,27/07/2020,117
Albania,28/07/2020,117
Albania,29/07/2020,108
Albania,30/07/2020,92
Albania,31/07/2020,79
Albania,01/08/2020,120
Albania,02/08/2020,123
Albania,03/08/2020,101
Albania,04/08/2020,130
Albania,05/08/2020,139
Albania,06/08/2020,127
Albania,07/08/2020,135
Albania,08/08/2020,124
Albania,09/08/2020,136
Albania,10/08/2020,125
Albania,11/08/2020,140
Albania,12/08/2020,141
Albania,13/08/2020,154
Albania,14/08/2020,146
Albania,15/08/2020,143
Albania,16/08/2020,120
Albania,17/08/2020,119
Albania,18/08/2020,155
Albania,19/08/2020,158
Albania,20/08/2020,155
Albania,21/08/2020,152
Albania,22/08/2020,156
Albania,23/08/2020,152
Albania,24/08/2020,178
Albania,25/08/2020,154
Albania,26/08/2020,168
Albania,27/08/2020,156
Albania,28/08/2020,112
Albania,29/08/2020,84
Albania,30/08/2020,101
Albania,31/08/2020,133
Albania,01/09/2020,93
Albania,02/09/2020,122
Albania,03/09/2020,116
Albania,04/09/2020,123
Albania,05/09/2020,135
Albania,06/09/2020,153
Albania,07/09/2020,151
Albania,08/09/2020,147
Albania,09/09/2020,151
Albania,10/09/2020,156
Albania,11/09/2020,161
Albania,12/09/2020,164
Albania,13/09/2020,168
Albania,14/09/2020,167
Albania,15/09/2020,152
Albania,16/09/2020,144
Albania,17/09/2020,132
Albania,18/09/2020,125
Albania,19/09/2020,153
Albania,20/09/2020,159
Albania,21/09/2020,150
Albania,22/09/2020,131
Albania,23/09/2020,121
Albania,24/09/2020,134
China,22/01/2020,548
China,23/01/2020,95
China,24/01/2020,277
China,25/01/2020,486
China,26/01/2020,669
China,27/01/2020,802
China,28/01/2020,2632
China,29/01/2020,578
China,30/01/2020,2054
China,31/01/2020,1661
China,01/02/2020,2089
China,02/02/2020,4739
China,03/02/2020,3086
China,04/02/2020,3991
China,05/02/2020,3733
China,06/02/2020,3147
China,07/02/2020,3523
China,08/02/2020,2704
China,09/02/2020,3015
China,10/02/2020,2525
China,11/02/2020,2032
China,12/02/2020,373
China,13/02/2020,15136
China,14/02/2020,6463
China,15/02/2020,2055
China,16/02/2020,2100
China,17/02/2020,1921
China,18/02/2020,1777
China,19/02/2020,408
China,20/02/2020,458
China,21/02/2020,473
China,22/02/2020,1451
China,23/02/2020,21
China,24/02/2020,219
China,25/02/2020,513
China,26/02/2020,412
China,27/02/2020,434
China,28/02/2020,328
China,29/02/2020,428
China,01/03/2020,576
China,02/03/2020,204
China,03/03/2020,125
China,04/03/2020,125
China,05/03/2020,151
China,06/03/2020,153
China,07/03/2020,80
China,08/03/2020,53
China,09/03/2020,37
China,10/03/2020,27
China,11/03/2020,34
China,12/03/2020,11
China,13/03/2020,13
China,14/03/2020,32
China,15/03/2020,26
China,16/03/2020,30
China,17/03/2020,25
China,18/03/2020,44
China,19/03/2020,54
China,20/03/2020,94
China,21/03/2020,55
China,22/03/2020,130
China,23/03/2020,63
China,24/03/2020,93
China,25/03/2020,70
China,26/03/2020,121
China,27/03/2020,115
China,28/03/2020,102
China,29/03/2020,123
China,30/03/2020,76
China,31/03/2020,81
China,01/04/2020,82
China,02/04/2020,71
China,03/04/2020,79
China,04/04/2020,32
China,05/04/2020,59
China,06/04/2020,63
China,07/04/2020,53
China,08/04/2020,91
China,09/04/2020,74
China,10/04/2020,58
China,11/04/2020,73
China,12/04/2020,120
China,13/04/2020,79
China,14/04/2020,93
China,15/04/2020,50
China,16/04/2020,47
China,17/04/2020,357
China,18/04/2020,27
China,19/04/2020,18
China,20/04/2020,12
China,21/04/2020,36
China,22/04/2020,15
China,23/04/2020,16
China,24/04/2020,15
China,25/04/2020,10
China,26/04/2020,3
China,27/04/2020,6
China,28/04/2020,22
China,29/04/2020,4
China,30/04/2020,12
China,01/05/2020,3
China,02/05/2020,0
China,03/05/2020,5
China,04/05/2020,2
China,05/05/2020,2
China,06/05/2020,2
China,07/05/2020,5
China,08/05/2020,1
China,09/05/2020,14
China,10/05/2020,20
China,11/05/2020,1
China,12/05/2020,7
China,13/05/2020,6
China,14/05/2020,5
China,15/05/2020,9
China,16/05/2020,6
China,17/05/2020,10
China,18/05/2020,9
China,19/05/2020,0
China,20/05/2020,0
China,21/05/2020,0
China,22/05/2020,18
China,23/05/2020,3
China,24/05/2020,11
China,25/05/2020,7
China,26/05/2020,1
China,27/05/2020,3
China,28/05/2020,0
China,29/05/2020,17
China,30/05/2020,5
China,31/05/2020,18
China,01/06/2020,8
China,02/06/2020,7
China,03/06/2020,1
China,04/06/2020,11
China,05/06/2020,6
China,06/06/2020,9
China,07/06/2020,5
China,08/06/2020,4
China,09/06/2020,3
China,10/06/2020,11
China,11/06/2020,7
China,12/06/2020,12
China,13/06/2020,58
China,14/06/2020,49
China,15/06/2020,43
China,16/06/2020,44
China,17/06/2020,36
China,18/06/2020,36
China,19/06/2020,0
China,20/06/2020,59
China,21/06/2020,19
China,22/06/2020,52
China,23/06/2020,29
China,24/06/2020,20
China,25/06/2020,28
China,26/06/2020,24
China,27/06/2020,18
China,28/06/2020,14
China,29/06/2020,23
China,30/06/2020,5
China,01/07/2020,31
China,02/07/2020,14
China,03/07/2020,8
China,04/07/2020,19
China,05/07/2020,14
China,06/07/2020,18
China,07/07/2020,28
China,08/07/2020,33
China,09/07/2020,42
China,10/07/2020,0
China,11/07/2020,79
China,12/07/2020,46
China,13/07/2020,0
China,14/07/2020,109
China,15/07/2020,20
China,16/07/2020,81
China,17/07/2020,75
China,18/07/2020,16
China,19/07/2020,85
China,20/07/2020,119
China,21/07/2020,86
China,22/07/2020,198
China,23/07/2020,139
China,24/07/2020,157
China,25/07/2020,179
China,26/07/2020,189
China,27/07/2020,213
China,28/07/2020,207
China,29/07/2020,223
China,30/07/2020,276
China,31/07/2020,166
China,01/08/2020,172
China,02/08/2020,158
China,03/08/2020,114
China,04/08/2020,107
China,05/08/2020,122
China,06/08/2020,132
China,07/08/2020,120
China,08/08/2020,92
China,09/08/2020,121
China,10/08/2020,113
China,11/08/2020,52
China,12/08/2020,87
China,13/08/2020,99
China,14/08/2020,70
China,15/08/2020,65
China,16/08/2020,96
China,17/08/2020,66
China,18/08/2020,53
China,19/08/2020,33
China,20/08/2020,40
China,21/08/2020,49
China,22/08/2020,38
China,23/08/2020,41
China,24/08/2020,23
China,25/08/2020,34
China,26/08/2020,32
China,27/08/2020,30
China,28/08/2020,22
China,29/08/2020,27
China,30/08/2020,32
China,31/08/2020,19
China,01/09/2020,19
China,02/09/2020,20
China,03/09/2020,33
China,04/09/2020,22
China,05/09/2020,17
China,06/09/2020,33
China,07/09/2020,20
China,08/09/2020,9
China,09/09/2020,13
China,10/09/2020,27
China,11/09/2020,18
China,12/09/2020,23
China,13/09/2020,29
China,14/09/2020,22
China,15/09/2020,16
China,16/09/2020,18
China,17/09/2020,41
China,18/09/2020,17
China,19/09/2020,23
China,20/09/2020,35
China,21/09/2020,12
China,22/09/2020,18
China,23/09/2020,10
China,24/09/2020,15
